DM_EVENT.date_ops_start,DM_ACTIVITY.activity_code,DM_ACTIVITY.activity_memo
09/01/2014,C2,"Drop top plug. Cmt unit displace with 20 bbls & Rig displace with 383.5 bbls of 1.43 SG SBM. Bump plug. CIP 10:00 hrs. P/T csg 4000 psi/10 min, OK. Bleed off pressure, no back flow.  Note: - No Loss while cementing.          - 63 bbl Contaminated &  30 bbl Pure spacer return to surface.           - Estimate TOC from volumetric calculation 1903 m (505 m above 9-5/8"" shoe)                  "
09/01/2014,C2,"Drop bottom plug. Mix and pump 28 m3 of 1.90 SG single slurry with 477 lpm (used 9.1""hole size for calculation). Loss 6.2 m3 while pumping cement."
09/01/2014,C2,"Drop top plug. Cement unit displace cement with 1.59 m3 of 1.78 SG SDF. Rig cont to displace with 57.32 m3 of 1.78 SG SDF (159 - 477 lpm). Suddenly lost return after dispacing 41.43 m3. Swith to cement unit, pump 1.59m3 of SW. Bump plug & pressure test casing to 4700 psi/10 min. (Actual/Calc diff press 995/230 psi). CIP at 06:40 hrs. No ballooning effect. Bleed off pressure - Float holding. Bleed off Volume 1 m3. Total losses 15.26 m3 m3. "
09/01/2014,C2,"Rig pump 1.59 m3 of base oil ahead and 1.78 SG HT-MCS-GS Spacer (477 lpm, 300 psi). Loss 5 m3 while pumping spacer. "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3121 m to 3130 mMD/2618.34 mVD w/ 1.40 SG SDF. No losses. BHCT 160?C. BG 0.1-0.2% Well path: 1.44 m above and 2.29 m left to proposal line Drilling parameters : Rotate: WOB 14-15 klbs, 1000 lpm, SPP 3000 psi, 200 rpm, 8-9/9-10 kft-lbs (off/on btm). Rotate: 12 m/0.5 hrs. Avg ROP 6 m/hr. P/U 185 klbs, S/O 140 klbs, R/T 158 klbs. Note: - Add 1 sacks of G Seal HRG and 1 sacks of G seal plus every 1 hrs.  ===00:00 - 06:00 Operations=== 00:00 - 06:00 Cont drilling 6-1/8"" hole from 3130 m to 3275 mMD/2731 mTVD w/ 1.40 SG SDF. No losses Well path: 3.5 m above and 4.36 m left to proposal line"
09/01/2014,P4F,"Install circulating head and hose. Circulate (660 lpm, 1220 psi) No losses. R/D circulating head. "
09/01/2014,P4F,"R/U cement bonnet. Remove BPV. R/U cement head and lines. BJ flush line and pressure test line to 5,000 psi- Ok. Meanwhile change out saver sub to 4 1/2"" IF. ****Rig released from BK-S9-F to BK-S9-E @ 6:00 hrs on 14th Feb 2014. Total Days on well/AFE = 18.45/14.96 days.****  +++Offline Operation+++ 06:30 - 10:00 hrs. Circulate prior to cement job (1000 lpm, 3000 psi). No losses. Circ until MW in/out = 1.40 SG. Temp out stable at 64?C. 07:15 - 08:15 hrs. Start running mud cooler. Observe trip tank increase to 30 bbls in 3 mins stop pumping and active pit (pit#7) still cont to gain 133 bbls in 10 mins. Suspend operation, investigate and found wrong line up to and from mud cooler pump. Rearrange pit for the circulation. 10:00 - 10:30 hrs. Rig pump 1.59 m3 of base oil and 36.6 m3 of 1.45 SG HT-MCS-GS spacer (1000 lpm,2500 psi), No losses. 10:30 - 12:30 hrs. Line up to Cement unit. Mix and pump 32.9 m3 of 1.68 SG Single slurry, pump rate 715 lpm (used 6.50"" hole size for calc). Pure spacer on surface after pumping 31.8 m3 of cement. BJ Flush cement line 2.3 m3 of SW overboard and displace line with 0.8 m3 of 1.03 SG Retarded Brine. No losses. 12:30 - 13:45 hrs. Drop plug. Displace cement with 6.36 m3 of 1.03 SG Retarded Brine (715 lpm), 9.37 m3 of 0.79 SG base oil (715 lpm reducing to 635 lpm) and 0.64 m4 of 1.03 SG Retarded Brine (477 lpm). Bump plug with 3300 psi/80 lpm and pressure up to 3800 psi (500 psi above final pump pressure). P-Test tubing to 4700 psi/10 min. CIP at 12:55 hrs. Perform inflow test 2000/1000 psi for 10 min. Bleed off no back flow, float holding. Close annulus valve, Leave DHSV and cement head open. Note: - Pure spacer return to surface 17.48 m3. - Estimate TOC @ 1415 m (Volumetric). Planned TOC 1417 m."
09/01/2014,FN1C,"Sweep hole with Lo-vis/Hi-dense pill. Circulate hole clean (2000 lpm, 2600 psi). Total loss 3.6 m3."
09/01/2014,FN1C,"Circulate bottom up (2000 lpm, 2600 psi). Total loss 7.6 m3."
09/01/2014,G6,"Remove radioactive source. L/D SlimXtreme. Max BHST 175.6?C@3085.1 mTMD (2543 mTVD-MSL), 16:20 hrs after EOC. Monitor well, no gain/loss. Average hole size from one arm caliper = 8.64''"
09/01/2014,F1,"Cont drilling 8-1/2"" hole from 3114 m to TD at 3118 mMD/2609 mTVD. No losses. BHCT 143.4degC. - TD was set at 48 mTVD deeper as per correlation with BK-DEL-26. - Well path at TD: 1.35 m above and 2.28 m left to proposal line Drilling parameters: Rotate: WOB 15-22 klbs, 2200 lpm, SPP 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). Rotate: 4 m/0.25 hrs. Avg ROP 16 m/hr. P/U 234 klbs, S/O 145 klbs, R/T 182 klbs. - At TD, Mud Cooler temp in 62?C, temp out 42?C, flow line temp 82?C. "
09/01/2014,FN1C,"At 2167 m, observe tight spot. Attempt to pass - neg. Back ream 8-1/2""BHA from 2174 m to 2155 m (2155 lpm, 2875 psi, 120 rpm, 10-12 kft-lbs) - Ok. Stop pump to rack back stand - observe string taking weight. Attempt to establish circulation - neg, string stuck. Work string and finally free string by working string down with torque and slack off 100lkb - free. Establish circulation - ok. Total loss 10.8 m3."
09/01/2014,P4F,"Circulate bottoms up prior to DHSV (1110 lpm, 2620 psi). No losses, Max gas 2.1%, MW out variation 1.37 - 1.43 SG. Circ until MW in/out = 1.40/1.40 SG."
09/01/2014,P4F,"M/U DHSV. Install control line to DHSV. Pressure test to 7500 psi. Record control line return volume 7500/5000 psi = 140/110 ml. RIH 3 1/2"" completion with 5000 psi in control line to 3647 m.  === 00:00 - 06:00 hrs. Operation === 00:00 - 00:30 hrs. P/U and M/U tubing hanger. Cut and terminate control line to hanger. Connect and pressure test control line to 7500 psi and check control line return volume at 5,000 psi = 110 ml. 00:30 - 00:45 hrs. Make up hanger running tool and landing string. RIH and land hanger (PU/SO 145/104 klbs). Pressure test hanger seal to 6500 psi. Expand lock ring. Overpull test 10 klbs. Float collar at 3676 m, Float shoe at 3677 m (3041 mTVD), DHSV at 237 m. Meanwhile displace BOP stack with sea water and drain. 00:45 - 01:30 hrs. Install circulating head and hose. Circulate (660 lpm, 1220 psi) No losses. R/D circulating head. 01:30 - 02:30 hrs. Close DHSV. Release and L/D 3 1/2"" landing string. R/D 3 1/2"" tubing handling equipment. Total run: 284 jts of 3 1/2"" tubing 9.2# 13%Cr-80 JFE BEAR R3 + 5 pup jts + 1 DHSV. 02:30 - 04:30 hrs. Pull and L/D Diverter and Overshot. N/D BOP w/ HP riser, pull above platform and tranverse BOP from well center. R/D VG drilling adaptor. 04:30 - 06:00 hrs. R/U cement bonnet. Remove BPV. R/U cement head and lines. Meanwhile change out saver sub to 4 1/2"" IF. "
09/01/2014,F1,"Cont drilling 12 1/4"" directional hole (with Motor/MWD) from 1782 m to 2027 mMD/1754.19 mTVD w/1.35 SG SDF. BHCT 79.22?C. No losses. Drilling parameter: Rotate: WOB 8-10 klbs, 3400 lpm, SPP 3600/3850 psi (off/on btm), 80 rpm, 17/23 kft-lbs (off/on btm). Slide: WOB 3-6 klbs, 3400 lpm, SPP 3600/3750 psi (off/on bttm). Rotate: 132.4 m/3.8 hrs. Avg ROP 35 m/hr. Slide: 112.6 m/11.89 hrs. Avg ROP 9.47 m/hr. - Observe string hang up & motor stalling many times while sliding from 1650 m onwards P/U 217 klbs, S/O 152 klbs, Rot 177 klbs. Gas Peak: 9.09% @ 1904.5 mMD/1641.3 mTVD, BG 1.5%. Formation: -FM2D (60-80% Clyst, 20-35% Sst, 5-10 Coal) Note: - Add 1 sacks of G Seal HRG and 1 sacks of G seal plus every 1 hrs.          - Well path: 3.75 m left & 2 m below to the proposal line.            - Increase MW to 1.35 SG from 1600 m TVD          - At 2027 m, Mud Cooler temp in 73?C, temp out 46?C, flow line temp 60?C  ===00:00 - 06:00 Operations=== 00:00 - 06:00 Cont drilling 12 1/4"" directional hole (with Motor/MWD) from 2027 m to 2060 mMD/1783 mTVD w/ 1.40 SG SDF.        - Well path: 5.3 m left & 2.96 m above to the proposal line.          - Increase MW to 1.40 SG from 1750 m TVD"
09/01/2014,CN2,"Circulate & kill well with driller first circulation method. Bring pump up to 200 lpm, keep SICP constant at 216 psi. Continue circulating out influx at 320 psi DP pressure. Observe SICP drop to 6 psi. MW out varies from 1.73 - 1.78 SG. Circulate untill MW in = MW out = 1.78 SG. Gas reduce to 2.5%. Total loss 4 m3"
09/01/2014,CN2,"Establish circulation prior to cement job - 450 lpm 600 psi, loss rate 11-16 m3/hr, total loss 41 m3.  Observe max gas 80% on flowline. Continue to circulate gas out."
09/01/2014,CN2,"Open well. Flow check - observe flow continuously dieing. Flow reduce from 0.35 bbl/min to 0.1 bbl/min.   === 00:00-06:00 Operations === 00:00 - 00:45 Cont to flow check - observe flow continuously dieing. Flow reduce to static. Total breath back 4 m3. 00:45 - 02:00 Rig pump 1.59 m3 of base oil ahead and 1.78 SG HT-MCS-GS Spacer (477 lpm, 300 psi). Loss 5 m3 while pumping spacer. 02:00 - 02:15 Line up to cement unit, pump 0.8 m3 of SW. Pressure test line to 5000 psi. 02:15 - 03:30 Drop bottom plug. Mix and pump 28 m3 of 1.90 SG single slurry with 477 lpm (used 9.1""hole size forcalculation). Loss 6.2 m3 while pumping cement. 03:30 - 06:00 Drop top plug. Cement unit displace cement with 1.59 m3 of 1.78 SG SDF. Rig cont to displace with 1.78 SG SDF (159 - 477 lpm) - in progress. Return suddenly drop till no return after dispacing 41 m3.  "
